Number of employees,Is your employer a tech company?,Does your medical coverage include treatment of mental health?,Do you currently have a mental health disorder?,Do you know the options for mental health care available under your employer-provided health coverage?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,What is your age?,What is your gender?,What country do you work in?,What is your race?,Is your primary role within your company related to tech/IT?,Do you believe your productivity is ever affected by a mental health issue?,How well do you think the tech industry supports employees with mental health issues?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other
500-1000,Yes,No,No,Yes,No,No,Yes,38.0,Male,Spain,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Don't Know,Yes,No,No,No,34.0,Male,United States of America,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,28.0,Male,Germany,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Yes,Yes,28.0,Female,Netherlands,No Answer,Yes,No,2.0,No,No,No,No,No,No,Yes,No,No,No,No,No,No
26-100,Yes,No,No,Yes,No,Possibly,No,38.0,Male,Germany,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,No,Yes,Yes,Yes,33.0,Male,United States of America,More than one of the above,Yes,No,4.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No
26-100,Yes,No,Don't Know,Yes,No,Possibly,I don't know,38.0,Female,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,No,Yes,Yes,No,48.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
1-5,Yes,No,No,No,No,No,I don't know,44.0,Female,France,No Answer,No,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,Yes,No,Yes,Yes,34.0,Male,United States of America,White,Yes,No,2.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,No,29.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
More than 1000,No,No,Yes,No,Yes,Yes,Yes,39.0,Male,United Kingdom,No Answer,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Don't Know,No,No,Possibly,No,41.0,Male,Slovakia,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,Yes,33.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,Possibly,I don't know,31.0,Male,Germany,No Answer,No,Not applicable to me,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Don't Know,No,No,Don't Know,No,44.0,Male,France,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,No,Yes,Yes,Yes,33.0,Female,United States of America,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,No,No,Possibly,No,26.0,Other,Austria,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
26-100,Yes,No,No,No,No,No,No,28.0,Male,South Africa,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,Yes,No,Possibly,I don't know,32.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,No,Yes,No,No,No,35.0,Female,Ireland,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,No,No,No,Possibly,No,40.0,Male,France,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,No,No,Yes,No,Yes,No,I don't know,30.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,No,No,Possibly,Yes,34.0,Male,United States of America,More than one of the above,Yes,No,3.0,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
26-100,Yes,No,No,No,No,No,I don't know,21.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Possibly,Yes,37.0,Male,France,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,No,No,27.0,Male,United States of America,No Answer,No,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,No,No,37.0,Male,United States of America,White,No,Unsure,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,I don't know,33.0,Male,United Kingdom,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,Yes,No,No,Yes,28.0,Male,United States of America,More than one of the above,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Don't Know,No,No,Don't Know,I don't know,41.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,No,34.0,Male,Germany,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,No,Yes,37.0,Male,United Kingdom,No Answer,No,Yes,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Possibly,I don't know,28.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
More than 1000,No,No,Possibly,No,No,Possibly,No,52.0,Male,Germany,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No
100-500,Yes,No,No,No,No,No,No,39.0,Male,United Kingdom,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Possibly,I don't know,45.0,Male,United States of America,White,Yes,No,1.0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
No Answer,No,yes,No,No,No,No,No,50.0,Male,Netherlands,No Answer,No,Unsure,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,No,No,Don't Know,I don't know,27.0,Male,France,No Answer,Yes,No,1.0,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,I don't know,31.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,No,No,Possibly,I don't know,44.0,Male,United States of America,No Answer,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,Yes,31.0,Male,France,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
1-5,Yes,No,Possibly,No,No,Possibly,No,23.0,Male,Russia,No Answer,Yes,No,2.0,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,I don't know,23.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,Possibly,I don't know,38.0,Male,France,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,No,No,Don't Know,Yes,37.0,Male,United States of America,White,Yes,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,No,33.0,Male,Luxembourg,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Possibly,I don't know,34.0,Male,United States of America,Asian,No,Unsure,1.0,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes
More than 1000,No,No,Possibly,Yes,No,Possibly,No,47.0,Male,United States of America,White,Yes,No,1.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Don't Know,No,No,No,Yes,29.0,Female,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,No,No,No,No,No,38.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Don't Know,No,No,Don't Know,No,29.0,Male,Canada,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,I don't know,37.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Don't Know,No,39.0,Male,India,No Answer,No,Yes,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,29.0,Female,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,Yes,57.0,Female,Canada,No Answer,No,Yes,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,27.0,Female,United States of America,White,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,No,No,No,No,No,38.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,Yes,I don't know,39.0,Male,France,No Answer,No,Unsure,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,29.0,Male,Switzerland,No Answer,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,No,Yes,Yes,Yes,24.0,Male,United Kingdom,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Yes,Yes,30.0,Female,United Kingdom,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
500-1000,Yes,No,Possibly,Yes,No,Don't Know,I don't know,32.0,Male,United States of America,White,Yes,No,4.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Possibly,Yes,37.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,Don't Know,No,34.0,Male,New Zealand,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,No,Yes,52.0,Male,United States of America,White,No,No,5.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Possibly,Yes,36.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,No,Yes,Yes,No,52.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
100-500,Yes,No,No,Yes,No,No,No,49.0,Female,United States of America,Asian,No,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,I don't know,30.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,41.0,Male,Australia,No Answer,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
More than 1000,No,No,Possibly,No,No,No,Yes,29.0,Male,United States of America,No Answer,Yes,No,3.0,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,No,No,37.0,Other,United States of America,I prefer not to answer,Yes,No,1.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Possibly,Yes,29.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,Yes,Yes,Yes,Yes,39.0,Female,United States of America,More than one of the above,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,30.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,23.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,No,No,No,I don't know,29.0,Female,United States of America,White,Yes,No,3.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,38.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,41.0,Female,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,No,No,47.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,Yes,Yes,Yes,Yes,56.0,Female,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
100-500,Yes,No,Possibly,No,No,Possibly,I don't know,22.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,32.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,30.0,Female,United States of America,White,No,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,31.0,Other,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,No,36.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,32.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
6-25,Yes,No,Yes,Yes,Yes,Yes,Yes,37.0,Female,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,Yes
6-25,No,No,Possibly,No,No,Yes,I don't know,29.0,Male,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,No,I don't know,31.0,Female,United States of America,More than one of the above,Yes,No,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,39.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Don't Know,No,No,No,Yes,36.0,Male,Japan,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,I don't know,27.0,Other,United States of America,White,No,Yes,2.0,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
More than 1000,Yes,No,No,No,No,No,No,38.0,Male,United Kingdom,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Don't Know,Yes,37.0,Male,United States of America,White,No,Yes,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,Yes,No,33.0,Female,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Possibly,I don't know,38.0,Male,Turkey,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,No,No,Yes,Yes,36.0,Female,United States of America,White,Yes,No,4.0,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,I don't know,30.0,Female,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,I don't know,38.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Possibly,Yes,35.0,Female,Canada,No Answer,Yes,No,2.0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,26.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
100-500,No,No,Possibly,Yes,No,No,No,25.0,Male,United Kingdom,No Answer,Yes,No,2.0,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No
100-500,Yes,No,No,Yes,No,Yes,I don't know,40.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,Yes,No,No,I don't know,31.0,Male,Canada,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,No,No,Possibly,I don't know,49.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,No,No,No,Yes,30.0,Male,Netherlands,No Answer,Yes,No,2.0,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
100-500,No,No,Don't Know,No,No,Don't Know,No,35.0,Male,United States of America,More than one of the above,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Yes,Yes,46.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Don't Know,Yes,29.0,Female,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,Yes,Yes,Yes,Yes,Yes,22.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,50.0,Female,United States of America,White,No,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Don't Know,No,39.0,Male,United States of America,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,No,No,Yes,No,Yes,Yes,No,40.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,Yes
100-500,Yes,No,No,Yes,No,Yes,Yes,31.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,No,38.0,Male,United States of America,White,No,Yes,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,45.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,31.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Don't Know,Yes,No,Don't Know,No,25.0,Female,United States of America,No Answer,No,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,No,No,Yes,Yes,Yes,Yes,Yes,28.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,No,No,Possibly,No,37.0,Male,United Kingdom,No Answer,Yes,No,2.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
1-5,Yes,No,Possibly,No,No,No,No,54.0,Male,United States of America,I prefer not to answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,45.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,Yes,Yes,Yes,Yes,36.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,I don't know,34.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,No,Yes,28.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Possibly,Yes,No,Possibly,I don't know,32.0,Male,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,No,No,No,No,No,40.0,Male,Netherlands,No Answer,No,Yes,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,No,Yes,Yes,Yes,52.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,No,No,No,I don't know,33.0,Male,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,41.0,Female,United States of America,More than one of the above,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,No,25.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,No,33.0,Female,Canada,No Answer,No,Yes,1.0,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No
26-100,Yes,No,No,Yes,No,No,No,36.0,Other,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,40.0,Male,Switzerland,No Answer,No,Yes,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,Yes,23.0,Female,United States of America,White,No,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,Yes,No,No,No,37.0,Male,Canada,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Possibly,Yes,No,Possibly,I don't know,42.0,Male,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No
100-500,No,No,Yes,No,Yes,Yes,Yes,35.0,Female,United States of America,White,Yes,No,4.0,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,No,Yes,32.0,Female,United States of America,White,No,No,3.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Don't Know,No,No,No,Yes,23.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,35.0,Female,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,No,34.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,No,No,Possibly,Yes,24.0,Female,United States of America,White,Yes,No,3.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,38.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,No,42.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Don't Know,Yes,No,Possibly,I don't know,23.0,Female,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Yes,I don't know,39.0,Other,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,30.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Don't Know,Yes,No,No,I don't know,35.0,Female,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,No,29.0,Female,United States of America,White,No,No,1.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No
100-500,Yes,No,No,No,No,No,I don't know,24.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Possibly,No,No,Possibly,Yes,35.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Don't Know,I don't know,30.0,Male,United States of America,White,Yes,No,1.0,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
6-25,Yes,No,No,No,No,No,No,28.0,Female,United States of America,Asian,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,32.0,Female,United States of America,White,Yes,No,4.0,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Possibly,Yes,34.0,Male,United States of America,White,Yes,No,4.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Possibly,I don't know,33.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,No,No,32.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,I don't know,27.0,Female,United States of America,Asian,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,No,Yes,23.0,Female,United States of America,White,No,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,No,Yes,Yes,Yes,30.0,Male,Netherlands,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,24.0,Male,United States of America,White,No,No,5.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,34.0,Female,United States of America,White,Yes,No,4.0,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No
100-500,Yes,No,Don't Know,Yes,No,Don't Know,I don't know,32.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,41.0,Female,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,I don't know,37.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
